2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\analyzeIdlist.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools analyzeIdlist.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\autoLabel.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools autoLabel.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\calcXCoord.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools calcXCoord.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\coordLists.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools coordLists.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\findSigSeparationChange.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools findSigSeparationChange.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\findSpindle.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools findSpindle.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\mkRotMat.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools mkRotMat.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\projectData.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools projectData.m
2003.07.16 17:41 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\testSigSeparationChange.m --> bioweb.mit.edu /filelibrary/zurich/latestBuild/ct/analysisTools testSigSeparationChange.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\analyzeIdlist.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools analyzeIdlist.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\autoLabel.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools autoLabel.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\calcXCoord.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools calcXCoord.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\coordLists.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools coordLists.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\findSigSeparationChange.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools findSigSeparationChange.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\findSpindle.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools findSpindle.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\mkRotMat.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools mkRotMat.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\projectData.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools projectData.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\testSigSeparationChange.m --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools testSigSeparationChange.m
2003.07.18 14:55 B d:\usr\dorn2\matlab\chromtrack\ct\analysisTools\WS_FTP.LOG --> bioweb.mit.edu /filelibrary/zurich/latest build/ct/analysisTools WS_FTP.LOG
